jd_id,title,role_category,source,url,char_count,file
jd_074,Senior Machine Learning Engineer,ml,Adzuna,https://www.adzuna.com/land/ad/5582286479?se=8ouiu4sY8RGJZfgUeQyxLw&utm_medium=api&utm_source=e34e223e&v=49BC1FBA2FBC1C218573661965855DFDC1C6BEDF,498,jd_074_ml.txt
jd_075,Senior Machine Learning Engineer,ml,Adzuna,https://www.adzuna.com/land/ad/5582286690?se=8ouiu4sY8RGJZfgUeQyxLw&utm_medium=api&utm_source=e34e223e&v=38B30049C281F0087B20E28AE8728E3B9E98C5B8,498,jd_075_ml.txt
jd_076,Senior Machine Learning Engineer,ml,Adzuna,https://www.adzuna.com/land/ad/5582286691?se=8ouiu4sY8RGJZfgUeQyxLw&utm_medium=api&utm_source=e34e223e&v=3281D9103305C779E1DD0A8F9BA5F4C96ABD4CD0,498,jd_076_ml.txt
jd_077,Lead QA Engineer,qa,Adzuna,https://www.adzuna.com/land/ad/5637959891?se=Dv5Xw4sY8RGJZfgUeQyxLw&utm_medium=api&utm_source=e34e223e&v=399B2B54D547C79C0F8662E6277567ECAEC8CA06,499,jd_077_qa.txt
jd_078,Senior QA Engineer,qa,Adzuna,https://www.adzuna.com/land/ad/5637959902?se=Dv5Xw4sY8RGJZfgUeQyxLw&utm_medium=api&utm_source=e34e223e&v=7AF234647A9560A68EB80EAF63F749E64A1D0185,496,jd_078_qa.txt
jd_079,QA Engineer,qa,Adzuna,https://www.adzuna.com/land/ad/5633882772?se=Dv5Xw4sY8RGJZfgUeQyxLw&utm_medium=api&utm_source=e34e223e&v=AADDF8E30DA92EC5E14C60C1CCF4C5D9257DD1CD,499,jd_079_qa.txt
jd_080,QA Engineer,qa,Adzuna,https://www.adzuna.com/land/ad/4864289515?se=Dv5Xw4sY8RGJZfgUeQyxLw&utm_medium=api&utm_source=e34e223e&v=1A9E62378E4DAD5EDA6920D06BDC686024CE331F,498,jd_080_qa.txt
jd_081,QA Engineer,qa,Adzuna,https://www.adzuna.com/land/ad/5598076241?se=Dv5Xw4sY8RGJZfgUeQyxLw&utm_medium=api&utm_source=e34e223e&v=CC089966374ED3792C6987D16B6AE77C9DD7100B,499,jd_081_qa.txt
jd_082,DevOps Engineer,devops,Adzuna,https://www.adzuna.com/land/ad/5597179447?se=grQ5y4sY8RGbM9_FMNqlUA&utm_medium=api&utm_source=e34e223e&v=C686108BDB65E94A26EB0BC49F54388345190F0A,498,jd_082_devops.txt
jd_083,DevOps Engineer,devops,Adzuna,https://www.adzuna.com/land/ad/5584105038?se=grQ5y4sY8RGbM9_FMNqlUA&utm_medium=api&utm_source=e34e223e&v=D13E1367C2CE520A0D9E540010ACDD943D3D4367,497,jd_083_devops.txt
jd_084,DevOps Engineer,devops,Adzuna,https://www.adzuna.com/land/ad/5632077464?se=grQ5y4sY8RGbM9_FMNqlUA&utm_medium=api&utm_source=e34e223e&v=539F1DE4F518BF425A1F68A9690C3D17FDCB1618,499,jd_084_devops.txt
jd_085,DevOps Engineer,devops,Adzuna,https://www.adzuna.com/land/ad/5631751124?se=grQ5y4sY8RGbM9_FMNqlUA&utm_medium=api&utm_source=e34e223e&v=E51131E9F3EDCFD4F11FF2AA3CC3A9A9517F5FF6,499,jd_085_devops.txt
jd_086,DevOps Engineer,devops,Adzuna,https://www.adzuna.com/land/ad/5651493299?se=grQ5y4sY8RGbM9_FMNqlUA&utm_medium=api&utm_source=e34e223e&v=A9F7E688BE890729870A92FAD8419139E11E29D6,499,jd_086_devops.txt
